epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,13992.8,0.4277,0.2489,0.86096,0.99346,0.99467,0.99404,0.96096,0.30821,0.16666,0.81985,0.0004952,0.0004952,0.0004952
78,14171.6,0.42717,0.25369,0.86223,0.99373,0.994,0.99412,0.96143,0.30683,0.16791,0.82174,0.0004754,0.0004754,0.0004754
79,14353.5,0.42563,0.24969,0.86066,0.99374,0.99367,0.99402,0.96232,0.30299,0.16591,0.81878,0.0004556,0.0004556,0.0004556
80,14535.9,0.42175,0.24661,0.85863,0.99358,0.995,0.99425,0.96236,0.30125,0.16304,0.81683,0.0004358,0.0004358,0.0004358
81,14728.2,0.41791,0.24581,0.8606,0.99348,0.99433,0.99433,0.96305,0.30203,0.16182,0.82014,0.000416,0.000416,0.000416
82,14910.4,0.42011,0.24449,0.86114,0.99394,0.994,0.99426,0.96294,0.30014,0.1605,0.81984,0.0003962,0.0003962,0.0003962
83,15103.9,0.42565,0.24793,0.86241,0.994,0.99388,0.99429,0.96336,0.30058,0.16157,0.82051,0.0003764,0.0003764,0.0003764
84,15293.8,0.41419,0.24203,0.85814,0.99367,0.99351,0.99441,0.9627,0.30352,0.16253,0.82214,0.0003566,0.0003566,0.0003566
85,15478,0.41707,0.24491,0.85928,0.99399,0.99294,0.99435,0.96369,0.29911,0.16172,0.81799,0.0003368,0.0003368,0.0003368
86,15661.3,0.41061,0.24113,0.8543,0.99466,0.99259,0.99412,0.96386,0.29972,0.16086,0.81866,0.000317,0.000317,0.000317
87,15846.4,0.41408,0.2443,0.85727,0.9931,0.99367,0.99403,0.96304,0.30068,0.16001,0.81786,0.0002972,0.0002972,0.0002972
88,16041.5,0.40651,0.23975,0.85465,0.99459,0.99267,0.99419,0.96252,0.29899,0.1593,0.81881,0.0002774,0.0002774,0.0002774
89,16233.3,0.41022,0.23942,0.85784,0.99363,0.99467,0.99397,0.96356,0.2954,0.15989,0.8148,0.0002576,0.0002576,0.0002576
90,16425,0.40069,0.23565,0.85231,0.99333,0.99433,0.99381,0.96279,0.29535,0.1585,0.81532,0.0002378,0.0002378,0.0002378
91,16623.5,0.30212,0.17166,0.79344,0.99383,0.99433,0.99398,0.96152,0.29989,0.16024,0.81756,0.000218,0.000218,0.000218
92,16810.3,0.29684,0.16785,0.79237,0.994,0.99425,0.99402,0.96156,0.30205,0.1594,0.81965,0.0001982,0.0001982,0.0001982
93,16972.2,0.29541,0.16625,0.79225,0.99367,0.99424,0.994,0.96164,0.30108,0.16034,0.81925,0.0001784,0.0001784,0.0001784
94,17113.3,0.28886,0.16347,0.7935,0.99388,0.99433,0.994,0.96144,0.30113,0.15983,0.81966,0.0001586,0.0001586,0.0001586
95,17256.2,0.28737,0.16333,0.79249,0.99403,0.99433,0.99403,0.96163,0.30054,0.15914,0.81985,0.0001388,0.0001388,0.0001388
96,17397.8,0.28641,0.16185,0.79034,0.99425,0.99433,0.9939,0.96128,0.29946,0.15815,0.81866,0.000119,0.000119,0.000119
97,17534.6,0.28411,0.16029,0.79154,0.99433,0.99443,0.99409,0.96209,0.29879,0.15846,0.81835,9.92e-05,9.92e-05,9.92e-05
98,17674.3,0.28153,0.15799,0.79278,0.99433,0.99443,0.99428,0.96224,0.29752,0.15665,0.81858,7.94e-05,7.94e-05,7.94e-05
99,17813.3,0.28275,0.15787,0.78736,0.995,0.99457,0.99427,0.96227,0.29731,0.15668,0.81773,5.96e-05,5.96e-05,5.96e-05
100,17953.8,0.28079,0.15675,0.78764,0.99434,0.99464,0.99429,0.96265,0.29671,0.15659,0.81788,3.98e-05,3.98e-05,3.98e-05
